What is your intended or proposed major(s)? (Select all that apply),What category describes your highest education level prior to this semester?,Why have you chosen this major(s)? (Select all that apply),What forms of course support do you plan to utilize this semester?,Are you planning to complete the Data Analytics Certificate requirements at CCSF?,Are you planning to complete the Associates Degree requirements at CCSF?,"If yes, please state ALL of the AS Degrees you are planning to complete, separated by commas.",Are you taking Math 108 with the intention to change careers?,Are you taking Math 108 with the intention to transfer?,"If yes, please list your top 3 choices of transfer schools.",Which of the following math classes did you take in high school? (Select all that apply),"Which math course(s) have you taken previously (in community college, including as a high school student)? (Select all that apply)","Do you have family members, friends, or high school teachers who have experience in data science, computer science and/or engineering? (Select all that apply)",Math 108 is set up based on the belief that you have no prior programming experience and have at least passed a high school level Algebra course. How prepared do you feel that you were to take this course?,"How prepared do you feel for Math 108, based on your math knowledge and skills?","How prepared do you feel for Math 108, your data science knowledge and skills?",How conﬁdent are you that you can succeed in this class?,"What programming languages, if any, do you have at least some experience with? (Select all that apply)",What is your birthday?,What ZIP code do you currently associate with your main residence? ,How many hours of screen time do you have on average a day?  ,What generation immigrant would you say you are?,Approximately how many minutes does it take for you to commute to the lab/discussion meeting for this course?,What best describes how to commute to the lab/discussion meeting for this course?,"On average, how many hours of sleep do you get per night?",Are you planning to choose the Pass/No Pass grading option for this course?,How do you typically recharge after a long day?,"How fast is your reaction time? Go to https://humanbenchmark.com/tests/reactiontime and complete the test 5 times until it tells you to save your score. Respond with the time (ms) they show you on the save screen. Please, be honest :)","How long of a sequence can you remember? Go to https://humanbenchmark.com/tests/sequence and complete the test twice. Respond with your best level number. Please, be honest :)"
Biotechnology,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter)",Virtual Math Lab Tutor;Instructor;Discord,Maybe,Yes,nan,Yes,Maybe,UC Irvine,Other: (please specify),Linear Algebra,No,4.0,2.0,3.0,Conﬁdent,HTML/CSS;Python,1995-10-08,94110.0,6.0,"Second-generation (born in the country, with at least one parent born outside the country)",10.0,Walking,6.0,Maybe,Spending time alone to relax and reflect.,,539.0
Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",Virtual Math Lab Tutor;Instructor,Maybe,Yes,Business Administration,Maybe,Yes,"Cal, UC Berkeley, Berkeley",Trigonometry,Trigonometry;Precalculus,"Yes, a friend or classmate;No",3.0,3.0,3.0,Somewhat conﬁdent,HTML/CSS;JavaScript,1978-12-16,94102.0,8.0,"Third-generation (born in the country, with both parents born in the country but with at least one grandparent born outside)",30.0,Driving a personal vehicle,6.0,No,"A mix of both, depending on the day.",309.0,9.0
Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society);Family (i.e., My family wants me to pursue a career in this ﬁeld);Friends (i.e., My friends are in this major)",Virtual Math Lab Tutor,No,Yes,political science,No,Yes,"UC Berkeley, Northwestern University, Universidad de La Habana",Other: (please specify),nan,No,4.0,3.0,3.0,Conﬁdent,nan,2001-05-16,94112.0,4.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",30.0,"Taking public transportation (e.g., bus, BART)",5.0,Yes,It varies a lot based on my mood or the situation.,302.0,11.0
Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld)",I don't know where to ﬁnd help,No,Yes,Political Science ,No,Yes,"Stanford, Berkeley, USF",Precalculus,nan,No,1.0,4.0,3.0,Somewhat conﬁdent,nan,1998-02-10,94509.0,4.0,"Second-generation (born in the country, with at least one parent born outside the country)",65.0,Driving a personal vehicle,7.0,No,I’m not sure; it changes frequently.,430.0,10.0
Data Science,Bachelor’s degree,"Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld)",Virtual Math Lab Tutor;Instructor;CS Tutor Squad;Discord;An LLM like ChatGPT,Yes,Maybe,nan,Maybe,No,nan,nan,Trigonometry;College Algebra for Calculus;Precalculus;Linear Algebra;Vector Calculus;Diﬀerential Equations;Statistics,No,4.0,3.0,3.0,Conﬁdent,HTML/CSS,2000-10-06,94122.0,6.0,"Third-generation (born in the country, with both parents born in the country but with at least one grandparent born outside)",20.0,Driving a personal vehicle,6.0,Maybe,"A mix of both, depending on the day.",172.0,8.0
Electrical Engineering;Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society);Advice from others (i.e., My advisor suggested this major)",MESA Tutoring Center;Virtual UC Berkeley Ambassadors,Maybe,No,nan,No,Yes,"UC Berkeley, UCSF, UC Irvine",Trigonometry;Precalculus,"Trigonometry;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Vector Calculus;Diﬀerential Equations;Discrete Mathematics;Statistics",No,4.0,5.0,3.0,Conﬁdent,HTML/CSS;JavaScript;C++;Java,1998-11-14,94110.0,8.0,"First-generation (born outside the country, moved here)",30.0,"Taking public transportation (e.g., bus, BART)",7.0,No,"A mix of both, depending on the day.",229.0,17.0
Data Science;Other: (please specify),Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;Virtual UC Berkeley Ambassadors;Virtual CCSF Data Ambassadors;Discord,Maybe,No,nan,No,Yes,"UC Berkeley, Sacramento State, San Francisco State University",Statistics AP,Linear Algebra;Statistics,"Yes, a friend or classmate",5.0,4.0,4.0,Very conﬁdent,HTML/CSS;R,1996-07-16,94122.0,6.0,"Second-generation (born in the country, with at least one parent born outside the country)",50.0,"Taking public transportation (e.g., bus, BART)",7.0,nan,"A mix of both, depending on the day.",362.0,8.0
Data Science;Other: (please specify),Some college but not a degree,"Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;Web Search,Yes,Maybe,nan,No,Maybe,"CSU EASTBAY, SDSU, ",nan,Linear Algebra,"Yes, a friend or classmate",1.0,1.0,1.0,A little conﬁdent,C++;Pandas,2000-06-19,94118.0,10.0,"Second-generation (born in the country, with at least one parent born outside the country)",60.0,"Taking public transportation (e.g., bus, BART)",5.0,No,I’m not sure; it changes frequently.,420.0,13.0
Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Web Search,No,Yes,Nursing,No,Maybe,nan,nan,Statistics,"Yes, a friend or classmate",3.0,3.0,3.0,Somewhat conﬁdent,nan,2000-06-07,95828.0,5.0,"Second-generation (born in the country, with at least one parent born outside the country)",110.0,Driving a personal vehicle,7.0,Maybe,"A mix of both, depending on the day.",205.0,9.0
Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld)",nan,Yes,Yes,Data Science Associates Degree,No,No,nan,Trigonometry;Precalculus;Statistics AP,Trigonometry;College Algebra for Calculus;Precalculus;Statistics,"Yes, a friend or classmate",5.0,5.0,5.0,Conﬁdent,nan,1999-12-27,94118.0,8.0,"Second-generation (born in the country, with at least one parent born outside the country)",20.0,Driving a personal vehicle,8.0,No,"A mix of both, depending on the day.",170.0,7.0
Other: (please specify),High school graduate,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",CS Tutor Squad;An LLM like ChatGPT,Maybe,No,Political Science,Yes,Yes,"UC Davis, UC Berkeley, UC Los Angeles",Precalculus,"Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I","Yes, a teacher;Yes, a friend or classmate",3.0,2.0,2.0,Somewhat conﬁdent,nan,2005-07-13,94112.0,10.0,"Second-generation (born in the country, with at least one parent born outside the country)",50.0,"Taking public transportation (e.g., bus, BART)",6.5,No,"A mix of both, depending on the day.",252.0,11.0
Other: (please specify),Bachelor’s degree,"Career goals (i.e., I want to pursue a career in this ﬁeld)",Virtual Math Lab Tutor;Instructor;CS Tutor Squad;Web Search,No,No,nan,Yes,No,nan,Other: (please specify),Linear Algebra;Statistics,"Yes, a friend or classmate",5.0,5.0,5.0,Conﬁdent,HTML/CSS;JavaScript;C++;Java;Other: (please specify),1968-05-01,94105.0,8.0,"Second-generation (born in the country, with at least one parent born outside the country)",10.0,Walking,9.0,Maybe,It varies a lot based on my mood or the situation.,455.0,6.0
Data Science,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld)",Other: (please specify),Yes,Yes,Data science,Yes,Yes,"SFSU , UC Berkeley, SJSU",Trigonometry;Precalculus;Intro to Calculus Calculus AB,"Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I",No,2.0,4.0,1.0,Conﬁdent,nan,1997-09-22,94107.0,10.0,"First-generation (born outside the country, moved here)",30.0,Walking,6.0,No,It varies a lot based on my mood or the situation.,392.0,5.0
Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;Virtual UC Berkeley Ambassadors;Virtual CCSF Data Ambassadors;An LLM like ChatGPT;Web Search,Maybe,No,"None, already have a B.S.",Maybe,No,"U.C. Berkeley, Stanford, UCSF",Trigonometry;Precalculus,"Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Diﬀerential Equations","Yes, my sibling(s)",5.0,5.0,5.0,Very conﬁdent,HTML/CSS;JavaScript;Processing;C;C++;Java;Python;MIPS or another assembly language;Pandas,1964-11-01,94102.0,4.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",20.0,Walking,7.0,No,Spending time alone to relax and reflect.,488.0,3.8
Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Career goals (i.e., I want to pursue a career in this ﬁeld)",Virtual Math Lab Tutor;Instructor,No,Maybe,nan,No,No,nan,nan,College Algebra for Calculus,No,1.0,1.0,1.0,Not conﬁdent at all,nan,1981-09-20,94131.0,5.0,"Second-generation (born in the country, with at least one parent born outside the country)",20.0,Driving a personal vehicle,7.0,nan,"A mix of both, depending on the day.",,
Bio Engineering & Bioinformatics;Biotechnology,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;MESA Tutoring Center;Virtual UC Berkeley Ambassadors;Virtual CCSF Data Ambassadors,No,No,nan,Yes,Yes,nan,Trigonometry;Precalculus,"Trigonometry;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I","Yes, a friend or classmate",4.0,4.0,4.0,Conﬁdent,Other: (please specify),1993-08-13,94118.0,10.0,"First-generation (born outside the country, moved here)",120.0,"Taking public transportation (e.g., bus, BART)",9.0,No,"A mix of both, depending on the day.",379.0,8.0
Applied Mathematics;Statistics,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Career goals (i.e., I want to pursue a career in this ﬁeld)",In-person Math Lab Tutor;Virtual UC Berkeley Ambassadors;An LLM like ChatGPT,Maybe,Maybe,nan,No,Yes,SFSU,Precalculus;Calculus BC;Statistics AP,"Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Vector Calculus;Diﬀerential Equations;Discrete Mathematics;Statistics",No,5.0,5.0,4.0,Very conﬁdent,HTML/CSS;JavaScript;Java;R,2003-01-10,,10.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",40.0,"Taking public transportation (e.g., bus, BART)",8.0,No,Spending time alone to relax and reflect.,304.0,15.0
Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society);Not sure",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;Web Search,Maybe,No,nan,Maybe,No,nan,Trigonometry,College Algebra for Calculus;Precalculus;Statistics,"Yes, a friend or classmate",2.0,1.0,1.0,Somewhat conﬁdent,HTML/CSS;JavaScript,1982-02-21,94109.0,11.0,"Second-generation (born in the country, with at least one parent born outside the country)",20.0,Walking,6.5,Maybe,It varies a lot based on my mood or the situation.,324.0,
Data Science,High school graduate,"Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Family (i.e., My family wants me to pursue a career in this ﬁeld);Advice from others (i.e., My advisor suggested this major)",In-person Math Lab Tutor;Instructor;Discord;Web Search,Maybe,Maybe,nan,Yes,Yes,"UCB,UCSD,UCI",Intro to Calculus Calculus AB,nan,"Yes, someone in my extended family (cousin, aunt, etc.) Yes, a family friend or neighbor;Yes, a friend or classmate",3.0,3.0,2.0,Not conﬁdent at all,Python,2004-05-26,94112.0,12.0,"First-generation (born outside the country, moved here)",30.0,"Taking public transportation (e.g., bus, BART)",8.0,No,"A mix of both, depending on the day.",322.0,10.0
Data Science,Bachelor’s degree,"Personal abilities/talents (i.e., I am good at it);Career goals (i.e., I want to pursue a career in this ﬁeld)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor,Yes,Maybe,nan,Maybe,Maybe,nan,Trigonometry;Intro to Calculus Calculus AB;Calculus BC;Statistics AP,"Trigonometry;College Algebra for Calculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Vector Calculus;Diﬀerential Equations;Statistics",No,5.0,5.0,5.0,Very conﬁdent,C++;Python,1984-12-21,94105.0,4.0,"First-generation (born outside the country, moved here)",25.0,"Taking public transportation (e.g., bus, BART)",6.0,No,Spending time alone to relax and reflect.,266.0,8.0
Mathematics;Data Science,Some college but not a degree,"Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society);Family (i.e., My family wants me to pursue a career in this ﬁeld)",In-person Math Lab Tutor;Instructor;An LLM like ChatGPT;Web Search,Yes,Yes,Data Science,Yes,Yes,"UC Berkeley, UCSF, USF",Intro to Calculus Calculus AB,Linear Algebra,No,4.0,5.0,3.0,Very conﬁdent,C++,1996-07-11,94108.0,5.0,"First-generation (born outside the country, moved here)",45.0,"Taking public transportation (e.g., bus, BART)",6.0,Yes,"A mix of both, depending on the day.",45.0,9.0
Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Career goals (i.e., I want to pursue a career in this ﬁeld)",I don't know where to ﬁnd help,Maybe,No,nan,Yes,Maybe,UCSD,Intro to Calculus Calculus AB;Statistics AP,"Trigonometry;College Algebra for Calculus;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Vector Calculus;Discrete Mathematics;Statistics",No,5.0,5.0,5.0,Very conﬁdent,C;Java;Python;R,2000-09-19,94122.0,9.0,"Second-generation (born in the country, with at least one parent born outside the country)",30.0,Driving a personal vehicle,7.0,No,Spending time alone to relax and reflect.,190.0,9.0
Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld)",I don't know where to ﬁnd help,No,No,nan,No,Yes,"Uc Berkeley, UCLA, UC San Diego",Trigonometry;Precalculus;Intro to Calculus Calculus AB,"Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Statistics",No,3.0,3.0,3.0,Somewhat conﬁdent,Scratch or another block language;HTML/CSS;JavaScript;C++;Java,2006-10-21,94121.0,1.0,"Third-generation (born in the country, with both parents born in the country but with at least one grandparent born outside)",60.0,"Taking public transportation (e.g., bus, BART)",8.0,No,Spending time alone to relax and reflect.,,
Data Science,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;Virtual UC Berkeley Ambassadors;Virtual CCSF Data Ambassadors;Discord;Web Search,No,Maybe,nan,No,Yes,"UC San Diego, UC Davis, San Jose State University",Trigonometry;Precalculus;Intro to Calculus Calculus AB,"Trigonometry;College Algebra for Calculus;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I",No,5.0,5.0,3.0,Very conﬁdent,Python,2004-03-04,94015.0,6.0,"First-generation (born outside the country, moved here)",40.0,"Taking public transportation (e.g., bus, BART)",9.0,No,Spending time alone to relax and reflect.,303.0,17.0
Data Science;Other: (please specify),Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society);Advice from others (i.e., My advisor suggested this major)",Instructor;Discord;Web Search,Yes,Yes,"Physics, Data Science",Yes,Yes,"SJSU, UC Berkeley, UC Merced",Trigonometry;Precalculus,"College Algebra for Calculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Vector Calculus","Yes, a friend or classmate",5.0,5.0,5.0,Very conﬁdent,HTML/CSS;JavaScript;Python,1994-03-15,94124.0,6.0,"Second-generation (born in the country, with at least one parent born outside the country)",15.0,Driving a personal vehicle,7.0,No,It varies a lot based on my mood or the situation.,257.0,7.0
Other: (please specify),Bachelor’s degree,Other reasons: (please specify),In-person Math Lab Tutor;Virtual Math Lab Tutor,Maybe,No,nan,No,No,nan,Trigonometry;Precalculus,"Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Statistics","Yes, one or more parents/guardians",4.0,4.0,3.0,Somewhat conﬁdent,C++;Python;Other: (please specify),1965-01-24,94518.0,10.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",90.0,"Taking public transportation (e.g., bus, BART)",6.0,Maybe,Engaging in activities with friends or family.,348.0,5.0
Statistics;Data Science,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",Virtual Math Lab Tutor;Instructor,Yes,Maybe,nan,No,Yes,"UC Berkeley, UC Davis, UC Santa Cruz",Trigonometry;Precalculus,Trigonometry;Precalculus;Statistics,No,5.0,5.0,5.0,Very conﬁdent,Java;Python;R,2003-05-11,94133.0,4.0,"Third-generation (born in the country, with both parents born in the country but with at least one grandparent born outside)",55.0,"Taking public transportation (e.g., bus, BART)",9.0,No,Spending time alone to relax and reflect.,289.0,13.0
Computer Science;Data Science,Some college but not a degree,"Career goals (i.e., I want to pursue a career in this ﬁeld)",Virtual Math Lab Tutor;CS Tutor Squad;Discord,Yes,Yes,nan,Yes,Maybe,nan,Other: (please specify),Linear Algebra,No,2.0,2.0,2.0,Not conﬁdent at all,Java,1997-02-26,94133.0,3.0,"First-generation (born outside the country, moved here)",70.0,Driving a personal vehicle,7.0,Maybe,I’m not sure; it changes frequently.,250.0,11.0
Applied Mathematics;Statistics;Mathematics;Computer Science;Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",nan,Maybe,Yes,nan,Maybe,Maybe,Any UC or California State school,Trigonometry;Precalculus;Intro to Calculus Calculus AB;Calculus BC;Statistics AP,Trigonometry;College Algebra for Calculus;Precalculus;Linear Algebra;Statistics,No,5.0,5.0,3.0,Very conﬁdent,JavaScript,1992-02-28,94121.0,10.0,"Second-generation (born in the country, with at least one parent born outside the country)",60.0,Biking,9.0,No,Engaging in activities with friends or family.,291.0,13.0
